CSF,Cortical GM,WM,Ventricles,Cerebellum,Brainstem,Caudate Right,Caudate Left,Lentiform Right,Lentiform Left,Thalamus Left,Thalamus Right,TTV,TBV,ICV
80535.88,140825.25,129649.75,4763.88,22555.75,6018,1475.38,1507.75,3134.13,3124.88,4071.38,4160.75,325764.75,330528.63,411064.5
73605.5,119634.5,125584.75,4123.63,23637.5,6216,1421.75,1441.13,2610.63,2615.63,3894.75,3942.38,299869.75,303993.38,377598.88
77955.63,155191.88,152510.13,3910,23557.25,6253.88,1770.63,1726.25,2922.5,2982.38,4202.25,4290.13,365910.5,369820.5,447776.13
69594.25,113892.75,114898.13,4141.75,21400.25,5512,1357.88,1445.13,2584.63,2611.13,3808.13,3838.38,279924.25,284066,353660.25
68443.75,148004.25,147456.88,4641.25,25492.63,6526.25,1859,1832.13,3016.38,3156.13,4459.88,4595.5,356684.63,361325.88,429769.63
74015.75,141196.13,139816.5,4063.88,21544,5483.5,1559.88,1658.75,3236.38,3234.13,4026.25,4048.75,334817.38,338881.25,412897
80068.88,138674.13,152093.13,4028.25,23976.5,6570.25,2000.13,2048.38,3417.38,3625.5,4695,4410.38,351892.38,355920.63,435989.5
71911.25,147920.88,150247.13,4309,28863.63,6810,1757.75,1880.88,3053.25,3154.25,4652.88,4488.38,363392.5,367701.5,439612.75
58334.5,142433.38,140124.25,2794.88,23468,5929.63,1902.13,2046.5,3194.75,3170.25,4340.63,4255,341046.38,343841.25,402175.75
55019.75,136547.25,136085.88,4108.13,24056.63,6193.5,2002.63,2112.38,3277.13,3407.25,4284.38,4249,332353.13,336461.25,391481
66220.38,140594.38,142576,4267.38,23344.75,6299.88,1663.25,1737.75,2988.63,2937.25,4406,4480.63,340896.38,345163.75,411384.13
71759,150939.38,153601.63,4327.5,24091.5,6060.25,1728.88,1864.13,2756.5,2877.75,4467.75,4400.88,363440.25,367767.75,439526.75
57307.75,144465.75,147858.75,3826.25,25003.88,6041.5,1863.63,1923.25,3236,3521.63,4073.75,4192.75,351999.63,355825.88,413133.63
72431.75,143505.88,143962.25,5962,22619.75,6070.5,1644.25,1606.5,2952.13,3031.38,4102.63,4138.5,343042.38,349004.38,421436.13
85486,167299.38,170093.75,4239.88,26484.63,7313,2003.75,2132.63,3506.88,3558.88,5086.63,5186.88,404970,409209.88,494695.88
57763.75,137593.25,152327.63,3652.38,23903.75,6561.13,1876.63,2048.63,3034.25,3092.63,4409.13,4495.88,349947.75,353600.13,411363.88
73847.88,149471.25,152807.25,5360.75,25331.25,6770,2001.75,1964.63,3117,2986.75,4324.63,4481.75,364629,369989.75,443837.63
77158.88,153271.38,151985.38,7150,25760.25,6274.88,1837.25,1909.88,3252.38,3232.5,4220.5,4207.5,366037.25,373187.25,450346.13
64093.63,149135.88,155682,3008.25,26139,6154.13,1908.88,1995.75,3349.38,3365.5,4389.13,4352.25,367020.38,370028.63,434122.25
54394.75,113063.75,132987.75,4320,18151.38,5367.25,1555.63,1541.38,2997.25,3007.5,3503.38,3412.25,293644.75,297964.75,352359.5
59863.38,149635.25,151331.5,3334.25,24931.63,6504.5,1911,2060.63,3085.25,3125.38,4462.75,4416.38,361938.5,365272.75,425136.13
56588.75,135391.13,137016.88,3897.5,23317,6188.88,1803.63,1807.38,2747.38,2865.25,4532.5,4549.63,330642.38,334539.88,391128.63
72637.25,144189.63,137150.13,4331.75,21167.25,6071,1683,1796,3459.88,3397.63,4380.88,4452.38,337831.38,342163.13,414800.38
57887.25,145663.5,142054.25,3287.75,23491,6110.88,1593.5,1651.25,3026.38,2994.88,4331.13,4374.25,344647.5,347935.25,405822.5
80629.13,135352,148191.38,5426.75,22110.38,6249,1898.13,1923.25,2946.5,3150,4498.63,4390.38,341629,347055.75,427684.88
117481.5,138628.75,133371.75,8042.5,23046.75,6146.25,1647.75,1655.63,2982.25,2951.25,4443.88,4466.75,328859.75,336902.25,454383.75
46970.5,140782.75,131645.13,4062.13,24189.75,5970.88,1534.25,1629.88,2834.38,2982.88,4015.63,4068.63,329145.63,333207.75,380178.25
54850,133685.25,136098.75,3349.25,22988.38,6013.25,1905.5,1862,3151.25,3267.63,4342.25,4409.38,328012.63,331361.88,386211.88
76706.88,153050,145546.5,3427.63,25351.38,6480.25,1617.5,1729,3146.75,3317.13,4493.25,4554.5,359164.38,362592,439298.88
55500.88,149750,151855.63,3456,24196.75,6221.88,1536.25,1644.88,2943.13,3072.88,4577.25,4645.88,360199.75,363655.75,419156.63
82799.5,169635.63,172267.5,5018.5,22163.75,6520.75,1738.25,1827.75,3324.63,3296.75,4558.63,4482.88,399880.25,404898.75,487698.25
62390,159502.38,158679.75,4640.13,25109.88,6743,2121.13,2251.13,3655.38,3650.5,4613.5,4722.13,381828.63,386468.75,448858.75
69689,142719.88,152390.5,3503.75,24575.75,6421.5,2056.13,2046.88,2955.25,3157.63,4650.13,4415.88,355939.25,359443,429132
62336.38,150552.88,153729.25,3196.63,24220.5,6377.63,1987.38,2051,3361.38,3479,4724.88,4766.38,365788.5,368985.13,431321.5
71213,149117.88,149307.63,3418.75,23756.38,6562.25,1789,1798,3258,3170.13,4419.88,4638.75,358016,361434.75,432647.75
75384.88,152326.5,152892.13,5221.88,25365.13,6553.63,2114.38,2159.38,3253.88,3334.5,4533.63,4537.75,367376,372597.88,447982.75
61098.13,146377.63,157074.13,4520.88,24685.25,6455.88,2052.88,2089.88,3360.63,3400.38,4683.5,4604.5,364923.38,369444.25,430542.38
63515.88,153133.38,148820.88,4244.63,24667.25,6375.5,1695.63,1799.88,3158.63,3289.5,4297,4289,361261.5,365506.13,429022
85249.5,167513.75,167706.88,4746.88,27739.13,6899.25,1792.88,1857.38,3056.88,3073.88,4999.13,5039.75,400711.38,405458.25,490707.75
